$ lake build +FormalConjectures.WrittenOnTheWallII.GraphConjecture217Attempt
✔ [7915/7921] Built FormalConjecturesForMathlib.Combinatorics.LatinSquare (3.1s)
✔ [7916/7923] Built FormalConjecturesForMathlib.Combinatorics.Additive.Basis (7.9s)
✔ [7917/7924] Built FormalConjecturesForMathlib.Combinatorics.Ramsey (1.0s)
✔ [7918/7925] Built FormalConjecturesForMathlib.Combinatorics.SetFamily.Sunflower (1.0s)
✔ [7919/7925] Built FormalConjecturesForMathlib.Combinatorics.SetTheory.PartitionRelation (1.7s)
✔ [7920/7926] Built FormalConjecturesForMathlib.Combinatorics.Additive.VCDim (5.4s)
✔ [7921/7927] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Balanced (2.0s)
✔ [7922/7929] Built FormalConjecturesForMathlib.Combinatorics.Ramsey.Diagonal (2.8s)
✔ [7923/7930] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Circumference (2.0s)
✔ [7924/7930] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.CompleteGraphEdgeCount (1.9s)
✔ [7925/7933] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Clique (2.8s)
✔ [7926/7933] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.CycleRank (1.0s)
✔ [7927/7934] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.DiamExtra (1.8s)
✔ [7928/7934] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Residue (2.4s)
✔ [7929/7937] Built FormalConjecturesForMathlib.Combinatorics.Basic (18s)
✔ [7930/7937] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.VertexDistance (4.7s)
✔ [7931/7939] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.FractionalAlpha (2.1s)
✔ [7932/7940] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Coloring (7.5s)
✔ [7933/7941] Built FormalConjecturesForMathlib.Analysis.Matrix.Spectrum (2.8s)
✔ [7934/7942] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.SzegedIndex (2.6s)
✔ [7935/7942] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.WienerIndex (3.4s)
✔ [7936/7943] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Degrees (2.4s)
✔ [7937/7943] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Cvetkovic (2.2s)
✔ [7938/7944] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Independence (2.2s)
✔ [7939/7945] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.LovaszTheta (2.7s)
✔ [7940/7946] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Temperature (1.8s)
✔ [7941/7947] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.AnnihilationNumber (2.2s)
✔ [7942/7948] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Induced (1.9s)
✔ [7943/7949] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.PathCover (1.7s)
✔ [7944/7950] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Eccentricity (3.0s)
✔ [7945/7950] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.EdgeColouring (1.7s)
✔ [7946/7955] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Domination (2.4s)
✔ [7947/7955] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.LargestInducedTree (1.9s)
✔ [7948/7955] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.WellTotallyDominated (1.6s)
✔ [7949/7956] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.HomDensity (2.5s)
✔ [7950/7957] Built FormalConjecturesForMathlib.Data.Finset.Card (1.6s)
✔ [7951/7958] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Ramsey (1.8s)
✔ [7952/7958] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.SizeRamsey (1.0s)
✔ [7953/7959] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Connectivity (1.7s)
✔ [7954/7960] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Matching (2.3s)
✔ [7955/7961] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.Johnson (2.1s)
✔ [7956/7961] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.SpanningTree (2.1s)
✔ [7957/7964] Built FormalConjecturesForMathlib.Combinatorics.YoungDiagram (1.7s)
✔ [7958/7967] Built FormalConjecturesForMathlib.Combinatorics.SimpleGraph.UnitDistancePlaneGraph (2.7s)
✔ [7959/7967] Built FormalConjecturesForMathlib.Computability.DFA (1.8s)
✔ [7960/7968] Built FormalConjecturesForMathlib.Computability.Encoding (1.9s)
✔ [7961/7969] Built FormalConjecturesForMathlib.Data.Finset.Powerset (1.7s)
✔ [7962/7972] Built FormalConjecturesForMathlib.Computability.TuringMachine.PostTuringMachine (1.9s)
✔ [7963/7972] Built FormalConjecturesForMathlib.Data.Finset.ReciprocalSum (1.8s)
✔ [7964/7972] Built FormalConjecturesForMathlib.Data.Int.IntermediateValue (1.4s)
✔ [7965/7972] Built FormalConjecturesForMathlib.Data.Nat.Init (1.3s)
✔ [7966/7973] Built FormalConjecturesForMathlib.Data.Nat.Factorization.Basic (2.2s)
✔ [7967/7974] Built FormalConjecturesForMathlib.Data.Nat.Full (2.4s)
✔ [7968/7975] Built FormalConjecturesForMathlib.Computability.TuringMachine.BusyBeavers (3.3s)
✔ [7969/7976] Built FormalConjecturesForMathlib.Data.Nat.MaxPrimeFac (2.2s)
✔ [7970/7976] Built FormalConjecturesForMathlib.Data.Nat.Prime.Composite (1.6s)
✔ [7971/7977] Built FormalConjecturesForMathlib.Data.Nat.Prime.Finset (1.7s)
✔ [7972/7978] Built FormalConjecturesForMathlib.Data.Nat.PerfectPower (4.1s)
✔ [7973/7978] Built FormalConjecturesForMathlib.Data.Nat.Prime.Defs (2.9s)
✔ [7974/7980] Built FormalConjecturesForMathlib.Computability.TuringMachine.Notation (3.6s)
✔ [7975/7982] Built FormalConjecturesForMathlib.Data.Real.NearestInt (1.7s)
✔ [7976/7983] Built FormalConjecturesForMathlib.Data.Set.Interval (1.7s)
✔ [7977/7984] Built FormalConjecturesForMathlib.Data.Real.Constants (2.9s)
✔ [7978/7985] Built FormalConjecturesForMathlib.Data.Nat.Squarefree (3.8s)
✔ [7979/7986] Built FormalConjecturesForMathlib.Order.Interval.Finset.Basic (1.0s)
✔ [7980/7987] Built FormalConjecturesForMathlib.Order.Interval.Finset.Nat (1.9s)
✔ [7981/7988] Built FormalConjecturesForMathlib.Data.ZMod.Fp (1.9s)
✔ [7982/7988] Built FormalConjecturesForMathlib.Data.Set.Triplewise (2.5s)
✔ [7983/7988] Built FormalConjecturesForMathlib.Data.ZMod.PerfectDifferenceSet (1.8s)
✔ [7984/7991] Built FormalConjecturesForMathlib.FieldTheory.MvRatFunc.Defs (2.3s)
✔ [7985/7992] Built FormalConjecturesForMathlib.Geometry.Metric (1.0s)
✔ [7986/7993] Built FormalConjecturesForMathlib.Geometry.Euclidean (2.8s)
✔ [7987/7994] Built FormalConjecturesForMathlib.Logic.Equiv.Fin.Rotate (1.8s)
✔ [7988/7996] Built FormalConjecturesForMathlib.Data.Set.Density (5.6s)
✔ [7989/7996] Built FormalConjecturesForMathlib.Geometry.«3d» (3.3s)
✔ [7990/7997] Built FormalConjecturesForMathlib.LinearAlgebra.AffineSpace.Simplex.Basic (2.6s)
✔ [7991/7998] Built FormalConjecturesForMathlib.LinearAlgebra.GeneralLinearGroup (2.6s)
✔ [7992/7998] Built FormalConjecturesForMathlib.NumberTheory.Amicable (1.9s)
✔ [7993/7999] Built FormalConjecturesForMathlib.NumberTheory.AdditivelyComplete (2.1s)
✔ [7994/8000] Built FormalConjecturesForMathlib.NumberTheory.BeurlingPrimes (1.0s)
✔ [7995/8002] Built FormalConjecturesForMathlib.LinearAlgebra.SpecialLinearGroup (2.4s)
✔ [7996/8002] Built FormalConjecturesForMathlib.NumberTheory.CoveringSystem (1.0s)
✔ [7997/8003] Built FormalConjecturesForMathlib.NumberTheory.DirichletCharacter.Basic (2.8s)
✔ [7998/8004] Built FormalConjecturesForMathlib.NumberTheory.Divisors (3.1s)
✔ [7999/8005] Built FormalConjecturesForMathlib.NumberTheory.Carmichael (6.3s)
✔ [8000/8006] Built FormalConjecturesForMathlib.Geometry.«2d» (9.2s)
✔ [8001/8007] Built FormalConjecturesForMathlib.NumberTheory.Lacunary (2.6s)
✔ [8002/8008] Built FormalConjecturesForMathlib.NumberTheory.LegendreSymbol.Basic (2.5s)
✔ [8003/8009] Built FormalConjecturesForMathlib.NumberTheory.NormalNumber (2.0s)
✔ [8004/8010] Built FormalConjecturesForMathlib.NumberTheory.PracticalNumbers (1.7s)
✔ [8005/8011] Built FormalConjecturesForMathlib.NumberTheory.NumberField.Quadratic (2.7s)
✔ [8006/8012] Built FormalConjecturesForMathlib.NumberTheory.PrimeGap (1.7s)
✔ [8007/8013] Built FormalConjecturesForMathlib.NumberTheory.PisotNumber (3.6s)
✔ [8008/8014] Built FormalConjecturesForMathlib.NumberTheory.SierpinskiNumber (1.6s)
✔ [8009/8015] Built FormalConjecturesForMathlib.NumberTheory.Primitive (2.1s)
✔ [8010/8016] Built FormalConjecturesForMathlib.Probability.FiniteMethod (1.9s)
✔ [8011/8018] Built FormalConjecturesForMathlib.NumberTheory.WallSunSunPrimes (3.3s)
✔ [8012/8018] Built FormalConjecturesForMathlib.SetTheory.Cardinal.Continuum (1.7s)
✔ [8013/8019] Built FormalConjecturesForMathlib.SetTheory.Cardinal.Arithmetic (2.2s)
✔ [8014/8020] Built FormalConjecturesForMathlib.SetTheory.Cardinal.SimpleGraph (1.8s)
✔ [8015/8022] Built FormalConjecturesForMathlib.Topology.AbsoluteNeighborhoodRetract (1.8s)
✔ [8016/8022] Built FormalConjecturesForMathlib.Topology.Discrete (1.9s)
✔ [8017/8024] Built FormalConjecturesForMathlib.Topology.GDelta (1.8s)
✔ [8018/8024] Built FormalConjecturesUtil.Answer.Syntax (347ms)
✔ [8019/8028] Built FormalConjecturesForMathlib.Topology.LebesgueCoveringDimension (1.8s)
✔ [8020/8031] Built FormalConjecturesForMathlib.Topology.Homogeneous (1.7s)
✔ [8021/8035] Built FormalConjecturesUtil.Answer (1.2s)
✔ [8023/8039] Built FormalConjecturesForMathlib.Topology.MetricSpace.MetricSeparated (2.0s)
✔ [8024/8039] Built FormalConjecturesForMathlib.Lean.Elab.InfoTree.Util (565ms)
✔ [8025/8039] Built FormalConjecturesUtil.Linters.CopyrightLinter (833ms)
✔ [8026/8039] Built FormalConjecturesUtil.Linters.ModuleDocstringLinter (1.3s)
✔ [8027/8039] Built FormalConjecturesUtil.Linters.NamespaceLinter (867ms)
✔ [8028/8039] Built FormalConjecturesUtil.Attributes.AMS (1.0s)
✔ [8029/8039] Built FormalConjecturesForMathlib.Tactic.Linter.Term (810ms)
✔ [8030/8039] Built FormalConjecturesUtil.Linters.ExistsImplicationLinter (732ms)
✔ [8031/8039] Built FormalConjecturesUtil.Attributes.Basic (2.2s)
✔ [8032/8039] Built FormalConjecturesForMathlib (4.9s)
✔ [8033/8039] Built FormalConjecturesUtil.Linters.CategoryDocstringLinter (1.8s)
✔ [8034/8039] Built FormalConjecturesUtil.Linters.AnswerLinter (1.9s)
✔ [8035/8039] Built FormalConjecturesUtil.Linters.CategoryLinter (1.0s)
✔ [8036/8039] Built FormalConjecturesUtil.Linters.AMSLinter (1.7s)
✔ [8037/8039] Built FormalConjecturesUtil (3.3s)
✔ [8038/8039] Built FormalConjectures.WrittenOnTheWallII.GraphConjecture217 (4.2s)
✖ [8039/8039] Building FormalConjectures.WrittenOnTheWallII.GraphConjecture217Attempt (4.1s)
trace: .> LEAN_PATH=/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/Cli/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/batteries/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/Qq/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/aesop/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/proofwidgets/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/importGraph/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/LeanSearchClient/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/plausible/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/packages/mathlib/.lake/build/lib/lean:/home/runner/work/formal-conjectures/formal-conjectures/.lake/build/lib/lean /home/runner/.elan/toolchains/leanprover--lean4---v4.27.0/bin/lean /home/runner/work/formal-conjectures/formal-conjectures/FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean -o /home/runner/work/formal-conjectures/formal-conjectures/.lake/build/lib/lean/FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.olean -i /home/runner/work/formal-conjectures/formal-conjectures/.lake/build/lib/lean/FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.ilean -c /home/runner/work/formal-conjectures/formal-conjectures/.lake/build/ir/FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.c --setup /home/runner/work/formal-conjectures/formal-conjectures/.lake/build/ir/FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.setup.json --json
warning: FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean:38:0: automatically included section variable(s) unused in theorem `WrittenOnTheWallII.GraphConjecture217.residueEqTwoIndicator_eq_one_iff`:
  [DecidableEq α]
  [Nontrivial α]
consider restructuring your `variable` declarations so that the variables are not in scope or explicitly omit them:
  omit [DecidableEq α] [Nontrivial α] in theorem ...

Note: This linter can be disabled with `set_option linter.unusedSectionVars false`
warning: FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean:44:0: automatically included section variable(s) unused in theorem `WrittenOnTheWallII.GraphConjecture217.residueEqTwoIndicator_eq_zero_iff`:
  [DecidableEq α]
  [Nontrivial α]
consider restructuring your `variable` declarations so that the variables are not in scope or explicitly omit them:
  omit [DecidableEq α] [Nontrivial α] in theorem ...

Note: This linter can be disabled with `set_option linter.unusedSectionVars false`
warning: FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean:50:0: automatically included section variable(s) unused in theorem `WrittenOnTheWallII.GraphConjecture217.Ls_le_two_of_residue_ne_two`:
  [DecidableEq α]
  [Nontrivial α]
consider restructuring your `variable` declarations so that the variables are not in scope or explicitly omit them:
  omit [DecidableEq α] [Nontrivial α] in theorem ...

Note: This linter can be disabled with `set_option linter.unusedSectionVars false`
warning: FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean:57:0: automatically included section variable(s) unused in theorem `WrittenOnTheWallII.GraphConjecture217.Ls_le_six_of_residue_eq_two`:
  [DecidableEq α]
  [Nontrivial α]
consider restructuring your `variable` declarations so that the variables are not in scope or explicitly omit them:
  omit [DecidableEq α] [Nontrivial α] in theorem ...

Note: This linter can be disabled with `set_option linter.unusedSectionVars false`
error: FormalConjectures/WrittenOnTheWallII/GraphConjecture217Attempt.lean:73:4: mod_cast has type
  {v ∈ S.verts.toFinset | S.degree v = 1}.card ≤ Fintype.card α
but is expected to have type
  (fun T ↦ ↑((fun T ↦ ((fun T ↦ {v ∈ T.verts.toFinset | T.degree v = 1}) T).card) T)) S ≤ ↑(Fintype.card α)
error: Lean exited with code 1
Some required targets logged failures:
- FormalConjectures.WrittenOnTheWallII.GraphConjecture217Attempt
error: build failed
